ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
SMYDP0321,DP32.1,220,,Smyrna,,,,,Geometric designs,Drawing of a radial pattern,((:denarius?)),((:symbol for denarius?)),Litt. Scariph.
SMYT00211,T21.1,222,,Smyrna,,,,,,,,,"Pictura, Litt. Scariph."
SMYD00211,D21.1,224,,Smyrna,,,,,Human figures,Drawing of a face,((:caput hominis)),((:head of person)),Carbone
SMYT00221,T22.1,226,,Smyrna,,,,,,"Declaration of love, isopsephism",,,Litt. Scariph. 
SMYT00222,T22.2,227,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYT00223,T22.3,228,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYD00221,D22.1,229,,Smyrna,,,,,Human figures,Portrait / Drawing of a face,((:caput hominis ad sin.)),((:head of a person facing left)),Carbone
SMYD00222,D22.2,230,,Smyrna,,,,,Gladiators,Drawing of gladiatorial combat,"((:certamen gladiatorum, provocatores))","((:gladiator contest, provocators))",Carbone
SMYDP0341,DP34.1,231,,Smyrna,,,,,Geometric designs,Drawing of a circle,((:duo circuli)),((:two circles)),Litt. Scariph. 
SMYDP0342,DP34.2,232,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYT00241,T24.1,235,,Smyrna,,,,,,,,,Carbone
SMYT00242,T24.2,236,,Smyrna,,,,,,"Declaration of love, isopsephism",,,Carbone
SMYT00243,T24.3,237,,Smyrna,,,,,,,,,Carbone
SMYT00244,T24.4,239,,Smyrna,,,,,,,,,Carbone
SMYT00245,T24.5,240,,Smyrna,,,,,,,,,Carbone
SMYD00241,D24.1,241,,Smyrna,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Pictura
SMYD00242,D24.2,242,,Smyrna,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00243,D24.3,243,,Smyrna,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYT00251,T25.1,245,,Smyrna,,,,,,,,,Carbone
SMYT00252,T25.2,246,,Smyrna,,,,,,,,,Carbone
SMYT00253,T25.3,247,,Smyrna,,,,,,,,,Carbone
SMYT00254,T25.4,249,,Smyrna,,,,,,,,,Carbone
SMYT00255,T25.5,250,,Smyrna,,,,,,,,,Carbone
SMYT00256,T25.6,251,,Smyrna,,,,,,,,,Carbone
SMYD00251,D25.1,252,,Smyrna,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
