term,lemma
linea,lineus
lingit,lingo
lingis,lingo
linia,linia
lis,"lis, litis"
livius,livius
locare,locaris
locus est rufinae,"locus, loci"
locum,"locus, loci"
lodicem,lodicem
lol(l)i,lol(l)i
lollianus,Lollianus
lollius,Lollius
longinus,Longinus
longo,"longus, longa, longum"
longoque,"longus, longa, longum"
l̅v̅,l̅u̅
luccei,luccei
lucernam,"lucerna, lucernae"
lucianus,lucianus
lucidae,"lucidus, lucida, lucidum"
lucilius,Lucilius
lucio,lucius
lucium,lucius
lucius,lucius
lucii,Lucius
luci,Lucius
lucreti,Lucreti
lucrio,Lucrius
lucubratorium,lucubratorium
luculentissime,luculentissime
(:luculentissime),(:luculentissime)
luculentissimo,luculentissimo
lucumo,lucumo
lusit,"ludo, ludere"
ludi,"ludo, ludere"
luminum,"lumen, luminis"
lusor,lusor
luterem,luterem
lux,"lux, lucis"
m,m
ma,ma
ma(?),ma(?)
macer,"macer, macra, macrum"
mae,mae
magis,magiius
magister,"magister, magistri"
magistri,"magister, magistri"
maximum,"magnus, magna, magnum"
magno,"magnus, magna, magnum"
magna,"magnus, magna, magnum"
magni,"magnus, magna, magnum"
maior,"magnus, magna, magnum"
magonius,magonius
maias,maia
maledixi,maledixi
malo,"malo, malere"
maloque,"malo, malere"
"malus, mala, malum","malus,"
malus,"malus, mala, malum"
malum,"malus, mala, malum"
male,"malus, mala, malum"
malis,"malus, mala, malum"
mamium(:mammium),mamium(:mammium)
mammium,mammium
mandatus,"mando, mandare"
mansit,"maneo, manere"
mansi,"maneo, manere"
manilius,manilius
manio,manio
mansueta,mansueto
mansuetus,"mansuetus, mansueta, mansuetum"
manus,"manus, manus"
mar,mar
marca,Marca
marcelli,marcellus
marcello,Marcellus
marcili,marcilis
marcius,Marcius
marco,marcus
marci,Marcus
marcus,Marcus
"mare, maris","mare,"
mare,"mare, maris"
mari,"mare, maris"
marmorem,marmorem
martis,mars
mars,mars
martias,martias
matri,"mater, matris"
matris,"mater, matris"
matrona,"matrona, matronae"
max,max
medicavit,medicavit
medicus,"medicus, medici"
medusae,medusae
meientem,meientem
meminit,"memino, meminere"
memmius,memmius
menedemerumenus,menedemerumenus
menedimerumenus,menedimerumenus
mente,"mens, mentis"
mercedem,"merces, mercedis"
merces,"merces, mercedis"
mercurius,mercurius
(=mercurius?),(=mercurius?)
messalla,messalla
messenius,messenius
messio,messio
messìo,messìo
methe,methe
mea,"meus, mea, meum"
meae,"meus, mea, meum"
meis,"meus, mea, meum"
mei,"meus, mea, meum"
meam,"meus, mea, meum"
mìccionis,mìccio
miccìo,miccìo
miles,"miles, militis"
militibus,"miles, militis"
mille,mille
((mille)),((mille))
mille(?),mille(?)
mimus,"mimus, mimi"
ministrum,"minister, ministri"
miscella,miscellus
miserus,miserus
mita,mita
misit,"mitto, mittere"
mmmmus,mmmmus
mo,mo
moderatus,moderor
modesti,Modestus
modestus,Modestus
modo,modo
moeɔcia,moeɔcia
mol,mol
monit,monit
montani,"montanus, montana, montanum"
mopsus,Mopsus
morieris,morior
moritur,morior
mortis,"mors, mortis"
mortuus,"mortuus, mortua, mortuum"
moribus,"mos, moris"
mucius,mucius
mul,mul
mula,Mula
mulam,Mula
mulierarianus,mulierarianus
mulierum,"mulier, mulieris"
mulieres,"mulier, mulieris"
mulieris,"mulier, mulieris"
mulieri,"mulier, mulieris"
multiplication,multiplication
multo,"multus, multa, multum"
multas,"multus, multa, multum"
multa,"multus, multa, multum"
multis,"multus, multa, multum"
munus,"munus, muneris"
mur,mur
murmillo,murmillo
mus,Mus
Mus,Mus
musae,musa
muscario,muscario
musicus,"musicus, musica, musicum"
musicz,musicz
Myrine,Myrine
myrine,Myrine
myrtale,myrtal
myrtis,myrtum
mysine,mysine
mystagogus μυσταγωγός,mystagogus
mystice,Mysticus
nam,nam
narcissus,narcissus
nasso,nasso
nasone,"nasus, nasi"
nasum,"nasus, nasi"
natandus,natandus
nate,"natus, nati"
nauplius,Nauplius
nais,nautilus
naviculae,navicula
navium,navis
(((:navis,(((:navis
naves,"navo, navare"
nave,navus
navis,navus
ne,ne
negatis,"nego, negare"
nempius,nempius
neptunalis,neptunal
nequam,nequam
neque,neque
nec,neque
neronianus,neronianus
nescire,"nescio, nescire"
nescit,"nescio, nescire"
ní,ní
nica,nica
nicanor,Nicanor
nicedius,nicedius
nicephor,nicephor
nice,nico
nicopolis,Nicopolis
nigro,"niger, nigra, nigrum"
nihil,nihil
nisi,nisi
nixus,"nitor, niti"
ʾnʿm,ʾnʿm
nn,nn
noeto,Noeto
((:nomen,((:nomen
nomina,"nomen, nominis"
nomine,"nomen, nominis"
nomen,"nomen, nominis"
non,non
nonas,nona
nonaginta novem,nonaginta
nas,"no, nare"
nat,"no, nare"
(no)nas,(no)nas
nonio,nonio
nonnius,nonnius
nonis,"nonus, nona, nonum"
nonius,"nonus, nona, nonum"
nos,nos
novisti,"nosco, noscere"
novimus,"nosco, noscere"
noster,"noster, nostra, nostrum"
notatum,notas
nothvs,nothus
nothus,nothus
novembres,novembres
novembris,novembris
noctibus,"nox, noctis"
nuces,nuces
nucherinis,nucherinis
nuelas,nuelas
num,num
"numen, numinis","numen,"
numina,"numen, numinis"
numini,"numen, numinis"
numero,"numerus, numeri"
numerus,"numerus, numeri"
numisii,numisii
nummulario,nummularius
numulario(:nummulario),numulario(:nummulario)
nunc,nunc
nus,nus
ny,ny
o,o
ɔ,ɔ
ob,ob
oblongus,oblongus
obscene,"obscenus, obscena, obscenum"
ocea,ocea
oceanus,oceanus
ocreis,"ocrea, ocreae"
ocreisque,"ocrea, ocreae"
oculi,"oculus, oculi"
ofellas,ofella
oleum,"oleum, olei"
olithus,olithus
olor,"olor, oloris"
omnia,"omnis, omniis"
omnes,"omnis, omniis"
omnibus,"omnis, omniis"
omr,omr
o(?)mr(?),o(?)mr(?)
oneraria,oneraria
onesimus,Onesimus
Onesimus,Onesimus
onustus,"onustus, onusta, onustum"
oppi,oppi
oppositae,"oppono, opponere"
optatus,"opto, optare"
optime,optume
opus,"opus, operis"
or,or
(or,(or
orbiculis,orbiculis
ordinis,"ordo, ordinis"
ornamentae,ornamentae
ornamenta,"ornamentum, ornamenti"
ornatus,"orno, ornare"
oro vos faciatis,"oro, orare"
ore,"os, ossis"
os,"os, ossis"
pri,other
ovas,ovas
ovius,ovius
"pacatus, pacata, pacatum","pacatus,"
pacatus,"pacatus, pacata, pacatum"
paenulam,paenula
paeoniam,paeonia
paganis,paganus
palliolo,"palliolum, pallioli"
palliolum,"palliolum, pallioli"
palmis,"palma, palmae"
palmae,"palma, palmae"
palmam,"palma, palmae"
palma,palmo
palo,palo
pan,pan
panem,"panis, panis"
pane,"panis, panis"
panta,panta
papiri,papiri
paries,"pario, parere"
paris,Paris
parma,"parma, parmae"
paria,"par, piis"
pars,"pars, partis"
parte,"pars, partis"
partim,"pars, partis"
participantur,participo
parvum,paruus
minor,paruus
minus,paruus
minimum,paruus
parva,paruus
pascela,pascela
pastores,"pastor, pastoris"
patri,"pater, patris"
paucae,"paucus, pauca, paucum"
pauper,"pauper, paupiis"
pedica,"pedica, pedicae"
pedicarem,pedicaris
pedicare,pedicaris
pedicat,pedicat
pedicavero,pedicavero
pedico,"pedico, pedicare"
pelias,pelias
pelle,"pello, pellere"
pelvis,pelvis
peram,"pera, perae"
periit,"pereo, perire"
persi,"permulceo, permulcere"
persuavissime,persuavissime
pedes,"pes, pedis"
pedibus,"pes, pedis"
petasatus,petasatus
petecusanis,petecusanis
petilius,petilus
petat,"peto, petere"
petit,"peto, petere"
phalli,phalli
phallum,phallum
phallus,phallus
philetero,philetero
phoebus,Phoebus
phoebì,Phoebus
phosphorus,phosphorus
phryges,phryges
phyl,phyl
pier,pier
pierus,Pierus
pileatus,"pileatus, pileata, pileatum"
piscis,"piscis, piscis"
pisces,"piscis, piscis"
pisu,pisu
pitamnus,pitamnus
pittacius,pittacius
placidus,"placidus, placida, placidum"
planì,planì
plataco,plataco
pleia,pleia
plotium,plotium
polycarpus,polycarpus
pompeiana,pompeiana
pompeiano,pompeiano
pompeianis,pompeianus
pompeiis,pompeiis
pompeis,pompeis
pomponi,pomponi
pomponí,pomponí
poma,"pomum, pomi"
pondo,pondo
positas,"pono, ponere"
ponis,"pono, ponere"
ponam,"pono, ponere"
popidi,popidi
popillius,Popillius
popius,Popius
porcinam,porcina
porcius,Porcius
porro,porro
possunt,possum
possem,possum
postquam,postquam
postumius,Postumus
postumi,Postumus
praebuit,"praebeo, praebere"
pranderunt,pranderunt
pretium,"pretium, pretii"
pridie,pridie
prìmigeniae,prìmigeniae
primigenia,primigenius
primigenio,Primigenius
primuis,primuis
primus,"primus, prima, primum"
