term_id,term
1995,cauda
1996,magonius
1997,vesbinus
1998,uado
1999,natus
2000,uoco
2001,zephyros
2005,pri
2006,uio
2008,quasi
2009,procumbo
2011,folium
2012,carpo
2015,antiochus
2016,cythera
2017,cruppac
2019,popidi
2022,celadus
2023,papiri
2026,medico
2027,sapio
2028,φιλιππε
2029,balbus
2030,moeɔcia
