EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,,
EDR128583,8597 (nota),,334,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XXVI, stria 13",Human figures,Drawing of a face,((:Medusae? caput prospiciens)),Head of Medusa(?) facing forward,,
EDR128585,8597 (nota),,457,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XXVI, stria 13",Human figures,Drawing of a face,((:caput hominis ad sin.)),head of a person facing left,,
EDR128582,8597 (nota),,1435,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XXVI, stria 13",Animals,Partial drawing of a horse,((:equi caput et thorax)),Head and chest of a horse,,
EDR127218,8597 (nota),,1697,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XXVI, stria 12",Animals,Drawing of a bird,((:avis ad sin.)),Bird facing left,,
EDR167487,8597 (nota),,1436,Pompeii ,II,7,1,Campus ad amph.,Animals,Partial drawing of a horse,((:caput et artus anteriores equi ad sin.)),Head and front legs of a horse,,
EDR167489,,,429,Pompeii,II,7,1,Campus ad amph.,Human figures ,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167490,,,470,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167491,,,471,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167492,,,472,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167498,,,951,Pompeii,II,7,1,Campus ad amph.,Other,Drawing of a trident?,((:tropaion?)),,,
EDR127237,8629 (nota),,,Pompeii,II,7,1,"Campus ad amphitheatrum, col. LXII, stria 12",Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167499,8635 (nota),,1732,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of a bird,((:avis in saxo stans)) ,Bird standing on a rock,,
EDR167500,8637 (nota),,307,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a person,"
((:caput et umeri hominis ad sin.))",Head and shoulders of a person facing left,,
EDR167501,8639 (nota),,1765,Pompeii ,II,7,1,Campus ad amph.,Animals,Drawing of a bird?,((:avis? ad sin.)),Bird(?) facing left ,,
EDR167502,8643 (nota),,434,Pompeii,II ,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad dext.)),Head of a person facing right,,
EDR167503,8646 (nota),,,Pompeii ,II ,7,1,Campus ad amph.,Human figures,Drawing of two faces,((:duo capita hominum ad sin.)),"Heads of two people, facing left",,
EDR167664,8693 (nota),,,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of two gladiator helmets,((:duo capita gladiatoria? galeata)),"Two heads of gladiators(?), wearing helmets",,
EDR168169,,,402,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR147882,,,72,Pompeii,II,7,1,Campus ad amph.,Geometric designs,Compass-drawn circle,((:circulus florem continens)),Circle with a flower design,,
EDR167541,8707 (nota),a,389,Pompeii ,II,7,1,Campus ad amph.,Gladiators ,Drawing of a gladiator,((:caput gladiatoris? ad d.)),"Head of a gladiator(?), facing right",,
EDR167542,8712 (nota),,772,Pompeii ,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,"((:gladiator armatus, thraex?))","Armed gladiator, Thracian(?)",,
"
EDR167544",8713 (nota) ,,456,Pompeii ,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167547,8713 (nota),,503,Pompeii ,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167548,8713 (nota),,962,Pompeii,II,7,1,Campus ad amph.,Other,Drawing of a shield,((:clipeus oblongus)),Long shield,,
EDR167549,8713 (nota),,2430,Pompeii ,II ,7,1,Campus ad amph.,Other,Drawing of a cup,((:scyphus)),Cup or goblet,,
EDR167550,8716 (nota),,390,Pompeii ,II ,7,1,Campus ad amph.,Human figures ,Drawing of a face,((caput hominis ad sin.)),Head of a person facing left,,
EDR167672,8732,,252,Pompeii ,II,7,1,Campus ad amph.,Human figures,Drawing of a face,"((:caput hominis ad sin.)) 
Surus
Hol(coni?)",Head of a person facing left,,
EDR167673,8733 (nota),,1691,Pompeii ,II,7,1,Campus ad amph.,Animals,Drawing of a bird,((:avis ad sin.)),Bird facing left,,
EDR167674,8733 (nota),,1692,Pompeii ,II,7,1,Campus ad amph.,Animals,Drawing of a bird ,((:avis ad sin.)) ,Bird facing left,,
EDR167679,8733 (nota),,,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of two beetles(?),"((:duo scarabei? rotundi, unus ad d. quattuor pedibus incedens))","Two beetles(?), one moving to the right on four legs",,
EDR167686,8741 (nota),,960,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a shield,((:scutum)),Shield,,
EDR167683,8741 (nota),,,Pompeii,II,7,1,Campus ad amph.,Geometric designs,Drawing of various lines,((:lineae diversae in imagine scuti)),Various lines drawn over the image of a shield,,
EDR167703,8749 (nota),,380,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator helmet,((:caput gladiatoris galeatum)),Head of gladiator wearing helmet,,
EDR167704,8749 (nota),,391,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator helmet,((:caput gladiatoris galeatum)),Head of gladiator wearing helmet,,
EDR167705,8750 (nota),,504,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167708,8755 (nota),,392,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,((:gladiator cum palma)),Gladiator holding a palm branch,,
