EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
EDR112869,10529,,,4,"Διογένης ὁ κυνικὸς φιλόσοφος / ἰδὼν γυναῖκα ὑπὸ ποταμοῦ φε / ρομένην, εἶπεν· ἄφες φέρεσθαι / τὸ κακ⌜ὸ⌝ν ὑπὸ κα`κοῦ´ ΚΙΥΣ",Graffito about Diogenes the Cynic philosopher,"Diogenes the Cynic philospher, seeing a woman being carried off by the river, said: let the bad thing be carried away by the worse.",,,,,Diogenes was a 4th Century BC Athenian philospher. He was a founder of the philosophy Cynicism. 
EDR151835,10530,,,4,Est res in co(n)sid[- - -],Graffito,The matter is in ...,,,,,
EDR140205  ,10531,,,4,Pri(mi)genio s(alutem),Greetings to Primigenius,Hello to Primigenius.,,,,,"The feminine version of this name, Primigenia, is mentioned in CIL IV.10676."
EDR144354,10532,,11 & 12,4,"Θ / Faustus / Nothus / Nothus ((:nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis)) ((:names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice))",Names written in the shape of boats,Θ Faustus Nothus Nothus,,,,,"Each word in this graffito are written in technopaegnion as ships. The first line has the Greek letter theta, in this case it is the theta nigrum which signifies death. The theta stands for the Greek word θανατοσ which means death. The theta nigrum was used in military documents to show deceased soldiers, inscriptions for gladiators who died outside of the arena due to wounds from fighting, and some various funerary inscriptions."
EDR140220,10533,,,4,Alica,Mention of food,Porridge ,,,,,"Porridge or drink made with wheat or spelt. Follow up on alicaria, another name for a prostitute (see CIL IV.4001)- s.v. Oxford Latin dictionary"
EDR140224,10534,,,4,[---]gius A(ulo) Tertio s(alutem) / salutem,Greetings to Aulus Tertius,[---]gius says hello to Aulus Tertius. Hello!,,,,,"The first line includes both names and the ""s"" whereas the second line has ""salutem"" written out fully. It could be that the author ran out of room on the first line to fully write out the word."
EDR140230 ,10535,,,4,Anicete va(le),Greetings to Anicetus,"Goodbye, Anicetus",,,,,
EDR158823,10535 (nota),,,4,((:phallus)),Drawing of a phallus,,,,,,
EDR140231,10536,,,4,augu,Graffito,(Something about augury or the emperor?),,,,,
EDR140237,10537,,,4,Vibidi,Graffito naming Vibidius (?),Of Vibidius (?) OR Vibidi(us...?),,,,,"Vibidius is a nomen gentilicium and appears througout the Italian peninsula. It also appears twice in the catalogue of names at Herculaneum CIL X.01403. There is appears as the nomen gentilicium of two freedmen, who would have taken that name from their master. Both of the Vibidius' mentioned are freedmen of Aulus Vibidius which we can tell becasue both names say freedmen of Aulus, and becuase it is customary for a freedmen to take the praenomen of his master. This shows that the Vibidius fmaily in Herculaneum owned slaves and was wealthy. "
EDR140213,10538,,,4,Cereales sint Cumis,Graffito mentioning the city of Cumae,Cerialis and Cerialis might be at Cumae.,,,,,"It may be that Cereales is the plural of the name Cerealis meaning that two people named Cerealis are at Cumae, which is in the locative case in the graffito."
EDR140217,10539,,,4,ovas EVCL E VA M X P vectat,Series of letters,You rejoice (...other letters here...) it carries.,,,,,"""Ovas"" also appears in CIL IV.10603."
EDR140219   ,10540,,,4,[---]lius CINT genius suae sal(utem) / [---]CIN N AGIO GORC R,Greetings,[---]lius sends greetings to his (girlfriend?). (...other letters here...),,,,,
EDR140221 ,10541,,,4,si VOL cum Marcello bona[---],Graffito naming Marcellus,If (...) with Marcellus good (...?),,,,,"""Vol"" could be read as ""voles"" or ""volet"""
EDR140223,10542,,,4,PPP redire redire si minus innecteb et te [---],Poetic graffito (?),"To return, to return, if (I? he? she?) was not entangling (being entangled?) ... and you...",,,,,PPP may be a tria nomina.
EDR140226  ,10543,,,4,Secundus quo Hectic[+10?+]rimam s[alutem?],Greetings from Secundus,"Secundus, from whom Hectic(...?) many greetings.",,,,,"See Varone for SALVTEM (it's possible he's wrong). Come back and look at this, because CIL says that CIL IV.10543 and CIL IV.10544 are mixed together."
EDR140232 ,10544,,,4,suis P ave VIBAN,Greetings (?),Greetings to his own (family? friends?). May they live...,,,,,"Come back and look at this, because CIL says that CIL IV.10543 and CIL IV.10544 are mixed together."
EDR140233  ,10545,,,4,v̂ale Procam̂u,Greetings to Procamus,"Goodbye, Procamus",,,,,"The two verticle lines of the ""u"" may be two ""II"" for the vocative ""e"". The Graffito may actually mean ""Procame""."
EDR140235 ,10546,a,,4,IIII,Tally marks,"""4""",,,,,"Located in a back room of the ""Grand Taberna"", these tallies were possibly  some sort of inventory."
EDR142437 ,10546,b,,4,XI,Tally marks,"""11""",,,,,"Located in a back room of the ""Grand Taberna"", these tallies were possibly some sort of inventory."
EDR140131,10547,,,4,Crocale / barbata,Graffito naming Crocale,Bearded Crocale,,,,,"Crocale is a female name and the adjective barbata meaning bearded agrees with that, therefore this graffito is an insult."
EDR140669,10548,,,4,Rufûla pus,Graffito naming Rufula,"Rufula, 5 1/2 pounds ",,,,,"Many different possibilities exist for these final three letters. Della Corte first suggested ... pondo v semis... Or perhaps only part of the word was written and the writer meant to inscribe pusilla (very small or petty), pusulata (blistered, refined) or pusillanimis (timid, faint-hearted- but late authors)"
EDR140199   ,10549,,,4,Eueno,Graffito mentioning a name (?),to Euenus(?) ,,,,,"Euenus could be a name, though it is very rare. It is only known thus far from one wax tablet near Pompeii, one inscription at Ostia, and three funerary inscriptions from Rome"
EDR140203,10550,,,4,XXVIIII,Roman numerals,"""29""",,,,,
EDR140208,10551,,,4,Mercurius,Graffito naming Mercurius,Mercurius,,,,,"This is possibly referencing the Roman god Mercury, or someone's personal name."
EDR140210 ,10552,,,4,IIIIIIIIIII,Tally marks,"""11""",,,,,
EDR140234   ,10553,,,4,P(ublius) Septumius,Graffito naming Publius Septumius,Publius Septumius,,,,,
EDR142438   ,10554,a,,4,Q(uintus) La(elius?),Graffito mentioning a name (?),Q(uintus) La(elius?),,,,,"These letters could be three initials, or it could just be the shortened name Quintus Laelius."
EDR142439,10554,b,,4,Ulna O(r)dinius(?),Series of characters,(Incomprehensible series of characters),,,,,"Ulna, meaning forearm, can be a measurement. It would be similar to our modern foot measurement which comes from the body part foot. This graffito is one of a couple that are definitely markings on the wall, but is difficult to identify letters or words. Some of the markings on this graffito seem more like characters and less like letters from the Roman alphabet. CIL IV.10555 has a similar representation"
EDR142440  ,10555,a,,4,[---]FIOPEOEI[---] / [---]FIOPIDMN[---],Series of characters,(Incomprehensible series of characters),,,,,"The text of the graffito seems to be characters, not all of them are letters in the Roman alphabet. This graffito unfortunately no longer exists and we have to use CIL to understand it, however CIL does not have a clear representation. CIL IV.10554b is the same way."
EDR142441 ,10555,b,,4,Ad Ner[on---?],Series of letters,To Nero (?),,,,,"The text of this graffito are letters, however they don't seem to create a word. CIL thinks that it makes the phrase ""ad Nero"" meaning to Nero. However,  looking at the line drawing provided in CIL it is not obvious what the graffito is saying."
EDR142442,10556,a,,4,Cere(ri?) / Apollin(i),Series of letters,(Incomprehensible series of characters),,,,,"The text of this graffito are letters, however they don't seem to create a word. CIL thinks that it makes the names ""Cereri"" and ""Apolloni"". However,  looking at the line drawing provided in CIL it is not obvious what the graffito is saying."
EDR154447,10556,b,,4,"Ceres / Cossutius (?)
",Series of letters,(... other letters here...) Cossutius(?),,,,,"Cossutius is a nomen gentilicium. However, Cossutius may not be related to Ceres. It is written far enough below it to make it's inclusion in the same entry dubious. "
EDR151861,10557,,,4,ALS,Initials,A(ulus) L(---) S(---?),,,,,"Initials of a Roman name, but it is unclear what the letters stand for. The reading of the third letter is unsure."
EDR151863,10558,,,4,C(aius) (H)ostius,Graffito naming Gaius (H)ostius,"Gaius Hostius (here, pronounced Ostius)",,,,,"This graffito could be the name Hostius. The letter H is often dropped off the beginning of words because it is pronounced more softly, therefore an inscriber having only heard the name might not know that an ""H"" starts the name. The name Costius, or Ostius (making the inscription C(aius) Ostius, do not exist, so Hostius would be the closest name."
EDR151864,10559,,,4,Romu(lus),Beginning of a name,Romu(lus?),,,,,
EDR151865,10560,,,4,Reste,Beginning of a name (?),Rest(itutus?),,,,,
EDR151866,10561,,,4,Onesimus,Graffito naming Onesimus,Onesimus,,,,,"Transliterated Greek name ""Ονησιμος"", meaning ""useful"".  This name appears  six times in Herculaneum (five times as ""Onesimus"" and once as ""(O)νηcιμοc""), 17 times in Pompeii (sixteen times as ""Onesimus"" and once as ""Honesimus""), once in Surrentum (""Onesimus""), once in Neapolis (Onesi[mus]), and twelve times in Puteoli (all ""Onesimus""). Many of them are freed slaves, though the name seems popular as a Romen cognomen as well. Cf. 10598."
EDR144348,10561 (nota),,2319,4,((:basis columnae)),Drawing of a column base,,,,,,This column base is located near 5 other similar column bases.
EDR144349,10561 (nota),,2320,4,((:basis columnae)),Drawing of a column base,,,,,,This column base is located near 5 other similar column bases.
EDR145004,10561 (nota),,1108,4,((:cervus a cane assultatus)),Drawing of a stag and a dog,,,,,,"This drawing is one of many drawings of stags. These drawings were all located near each other and gave the house its name ""The House of the Stags""."
