term,lemma
noctibus,noctus
noeto,Noeto
nolae,nolae
nolanus,nolanus
noli,noli
nomen,nomen
nomine,nomine
nomina,nomino
non,non
nonis,nona
nonaginta,nonaginta
nonaginta novem,nonaginta novem
nonio,nonio
noniu,noniu
nonnius,nonne
nonas,nonus
nonius,nonus
nos,nos
novimus,nosco
noster,noster
nostros,noster
nothvs,nothus
nothus,nothus
notatum,noto
novem,nouo
novembres,novembres
novembris,novembris
novisti,novisti
nox,nox
nucherinis,Nucherinis
nuelas,nuelas
num,num
numina,numen
numini,numen
numerium,numerius
numero,numerus
numerus,numerus
numeri,numerus
numisii,numisii
nummulario,nummularius
nunc,nunc
nus,nus
nuces,nux
ny,ny
o,o
ob,ob
oblongus,oblongus
ocea,ocea
oceanus,oceanus
oceano,oceanus
ocreis,ocrea
ocreisque,ocreisque
octavus,octauus
oc,octoginta
oculi,oculus
oe,oe
of,of
ofellas,ofella
oleum,oleum
olithus,olithus
olor,olo
omnibus,omnia
omnes,omnis
omr,omr
on,on
oneraria,onerarius
onesimus,Onesimus
one,onos
onustus,onustus
opera,opera
oppi,oppi
oppositae,oppono
opscultat,opscultat
optat,optatum
optatus,opto
opus,opus
or γ,or γ
orbiculis,orbiculus
ordinis,ordo
ornamentae,ornamentae
ornamenta,ornamentum
ornatus,ornatus
oro,oro
oro vos faciatis,oro vos faciatis
ore,os
or,os
os,os
other,other
ovas,ouo
ovius,ovius
pacatus,paco
pedicat,paedico
paenulam,paenula
paeoniam,paeonia
paganis,paganum
palliolo,palliolum
palliolum,palliolum
palm,palm
palmae,palma
palmis,palma
palmam,palma
palo,palum
pan,panis
panem,panis
pane,panis
panta,panta
papiri,papiri
paridi,paridi
paries,paries
paria,pario
paris,Paris
parma,parma
palma,parma
pars,pars
partim,pars
parte,partiarius
participantur,participo
parvum,paruum
parva,paruus
pascela,pascela
pastores,pastor
patri,pater
pathicus,pathicus
paucae,paucus
pauper,pauper
pectus,pectus
pedicavero,pedico
pedicarem,pedico
pedicatur,pedico
pedico,pedico
pedicare,pedico
pedica,pedicus
pedes,pedo
pelias,pelios
pelvis,peluis
peram,pera
pereat,pereat
periit,pereo
perhaps,perhaps
persequitur,persequor
persi,persi
persuavissime,persuavissime
pertundere,pertundo
pedibus,pes
petasatus,petasatus
petecusanis,Petecusanis
petilius,petilus
petit,petitum
petat,peto
petronius,petronius
phallus,phallus
phallum,phallus
phalli,phallus
philetero,philetero
phoebi,phoebi
phoebì,Phoebus
phoebus,Phoebus
phosphorus,phosphorus
phryges,phryges
phyl,phyl
phyllis,phyllon
pier,pier
piero,piero
pierus,Pierus
pietas,pietas
pileatus,pileatus
piscis,piscis
pisces,piscis
pisu,pisu
pitamnus,pitamnus
pithia,pithias
pittacius,pittacius
placidus,placidus
planì,planì
plani,planus
plataco,plataco
pleia,pleius
plotillae,plotillae
plotium,plotium
pointing,pointing
polo,polus
polycarpus,polycarpus
pompeiana,pompeiana
pompeianis,pompeianis
pompeiano,pompeiano
pompeianus,pompeianus
pompeiis,pompeiis
pompeis,Pompeis
pomponi,pomponi
pomponí,pomponí
pomponius,pomponius
pomλ,pomλ
pondo,pondo
positas,pono
ponis,pono
ponam,pono
popidi,popidi
popidii,popidii
popillius,Popillius
popius,Popius
poppaeae,poppaeae
poppai,poppai
porcinam,porcinus
porcius,Porcius
porro,porrum
portam,porta
possem,possem
possim,possim
potest,possum
possunt,possum
posteru,posteru
postquam,postquam
postridie,postridie
postulat,postulatum
postumio,postumio
postumius,Postumus
postumi,Postumus
praebuit,praebeo
praeditus,praeditus
praefecto,praefectus
praesens,praesens
praeterit,praeteritum
praetorianae,praetorianus
pranderunt,prandeo
pravissimus,prauus
presenos,presenos
pretium,pretium
pri,pri
pridie,pridie
prìmigeniae,Primigenia
primigenia,Primigenia
primigeniae,primigenius
primigenio,Primigenius
primuis,primuis
prima,primus
primae,primus
priscus,priscus
prius,prius
pro,pro
procame,Procame
procul,procul
proculi,proculio
procule,proculus
proculum,proculus
proculus,Proculus
proculo,Proculus
procumbens,procumbo
procurator,procurator
circino,proiecticius
propero,propero
propesi,propesi
propitia,propitio
prora,prora
prosequens,prosequor
prospera,prosper
prospiciens,prospicio
providentes,prouidens
provocatores,prouocator
provocator,prouocator
prurit,prurio
psittaci,psittacus
psyche,psyche
publi,publi
publicae,publica
publius,Publius
pudor,pudor
puellas,puella
puellarum,puella
puellis,puellus
puer,puer
pugiles,pugilo
pugnantes,pugno
pugnabit,pugno
pupa,pupa
purmentarium,purmentarium
puteolani,puteolani
puteolanis,Puteolanis
puteolis,Puteoli
puteolos,Puteolos
pvnico,pvnico
pyramus,pyramus
pyrrichus,pyrrichus
q,q
qua,qua
quacumque,quacumque
quadrum,quadriiugus
quadratum,quadro
quadratus,quadro
quadrupes,quadrupes
quadruped,quadrupes
quadrua,quadruus
quae,quae
quaere,quaero
quaesivi,quaesivi
quaestor,quaestor
quam,quam
quant,quantum
quare,quare
quartilla,Quartilla
quartio,quartio
quartu,quartu
quas,quas
quasi,quasi
quati,quatio
quatit,quatio
quattuor,quattuor
que,que
quem,quem
quendam,quendam
qui,qui
quia,quia
quibus,quibus
quicti,quicti
quicumque,quicumque
quid,quid
quidam,quidam
quidem,quidem
quintus,quin
quinque,quinque
quintilius,quintilius
quintinus,quintinus
quinto,quintus
quinti,quintus
quintum,quintus
quis,quis
quisquis,quisquis
quo,quo
quod,quod
quorum,quor
quorumc,quorumc
quos,quos
quota,quotus
quovis,quouis
ramo,ramus
rare,rarus
rationem,ratio
rationis,ratio
duxerunt,reconduco
res,reconligo
recte,recte
rectus,rectus
redibis,redeo
redire,redeo
redii,redii
reus,redulcero
regu,regu
regulo,regulo
rite,reiicio
remisque,remisque
remmius,remmius
remis,remus
renibus,ren
rei,repexus
restinguere,restinguo
restitvtvs,restitutus
restituta,restitutus
ro,resupino
retiarius,retiarius
rete,retis
ramus,retrocedo
reg,rex
right,right
rivalis,riuales
rogat,rogatum
rogamus,rogo
rogavit,rogo
roma,roma
romanus,romanus
romulus,Romulus
rostro,rostrum
rotas,roto
rotundi,rotundus
rotundus,rotundus
rru,rru
rubenses,rubenses
rub,rubus
rudibus,rudis
rudentibus,rudo
rufina,rufina
rufinae,rufinae
rufini,Rufinus
rufula,Rufula
rufa,rufus
rufi,Rufus
rufus,Rufus
ruina,ruina
ruinis,ruina
rum,rumis
rumperis,rumpo
rusatia,rusatia
rusiunnae,rusiunnae
russa,russeus
rusticus,rusticus
rustio,rustio
s,s
s¹lm,s¹lm
s²ms¹rm,s²ms¹rm
sabidia,sabidia
sabina,Sabina
sabine,sabine
sabinus,Sabinus
sac,sac
sacaba,sacaba
sacculum,sacculus
sacenio,sacenio
sacomata,sacoma
sagatus,sagatus
