term,lemmatized
galea,galea
cristata,cristatus
et,et
scuto,scutum
armatus,armo
manica,manico
ocreisque,ocrea
indutus;,indutus;
thraex?)),thraex?))
volumnios,volumnios
um,um
amo,amo
maxime,magnus
surrentinas,surrentinas
((:verba,((:verba
surrentinas,surrentinas
scripta,scribo
in,in
forma,forma
duae,duo
navium)),navium))
quartio,quartio
((:labyrinthus)),((:labyrinthus))
((:labyrinth)),((:labyrinth))
ϲύμμαχος,ϲύμμαχος
menedemerumenus,menedemerumenus
narcissus,narcissus
chl,chl
oe,oe
va,va
σωσᾶς,σωσᾶς
καλῶϲ,καλῶϲ
μαιορεϲ,μαιορεϲ
[---]ικα,[]ικα
lucciae,lucciae
cu[---]ma,cu[]ma
[------],[]
haec,hic
sor+,sor+
omnibus,omnis
++++,++++
chloe,chloe
eo,is
lucius,lucius
lollius,lollius
procurator,procurator
nec,neque
prius,prior
absistit,absisto
quam,quam
septem,septem
ingentia,ingens
corpora,corpus
fundat,fundo
humi,humus
icarus,icarus
mansueta,mansueto
tene,teneo
cominius,cominius
accia,accia
acetabula,acetabulum
((semis)),((semis))
((scripula?)),((scripula?))
iuniae,iuniae
primae,primus
mandatus,mando
munus,munus
voltini,voltini
((mille)),((mille))
αβγδε,αβγδε
clemens,clemens
armaturiis,armaturiis
publius,publius
caselicius,caselicius
canus,canus
thiophilus,thiophilus
canis,canis
cunnum,cunnus
lingere,lingo
noli,nolo
puellis,puella
muro,murus
successa,succedo
xvi((semis)),xvi((semis))
germanus,germanus
ti,tiberius
comnis,comnis
olithus,olithus
rectus,rectus
amantes,amo
musicus,musicus
bibereoptat+lig+++e+,bibereoptat+lig+++e+
bibere,bibo
optat,opto
ἰουκοῦνδος,ἰουκοῦνδος
((:vir,((:vir
baculo,baculus
nixus)),nixus))
augustus,augustus
silig,silig
habenam,habena
coliculum,coliculis
betam,beta
mentam,menta
coeloe,coeloe
((:basis,((:basis
columnae)),columnae))
hormus,hormus
ho,ho
((:palma,((:palma
est,sum
posita,pono
inter,inter
verba,verbum
et,et
omnia,omnis
scuto,scutum
cum,cum
hastis,hasta
inclusa,includo
sunt)),sunt))
bacchis,bacchis
domina,domina
iucundus,iucundus
iusto,justus
betito,betito
decembris,december
filio,filius
εavg,εavg
catetvm++,catetvm++
mimus,mimus
((:duae,((:duae
naves,navo
cum,cum
velis)),velis))
((:avis,((:avis
ad,ad
dext)),dext))
((:lineae,((:lineae
interscissae)),interscissae))
ζ,ζ
((:duae,((:duae
galeae,galea
gladiatoriae)),gladiatoriae))
((:rhombus)),((:rhombus))
((:palma?)),((:palma?))
((:caput?)),((:caput?))
perpetue,perpetuus
felicío,felicío
gallianí,gallianí
latini,latinus
servus,servus
francinianis,francinianis
plurimam,multus
perpetuamque,perpetuus
plurime,multus
((:navis,((:navis
et,et
delphinus)),delphinus))
((:caput,((:caput
ad,ad
sin,sin
et,et
pileus)),pileus))
guerendus,guerendus
contiquere,contiquere
conticuere,contaceo
omnibu[s,omnibu[s
p]ompeianis,p]ompeianis
neptunales,neptunal
((:verbum,((:verbum
in,in
forma,forma
navis,navus
scriptum)),scriptum))
((:piscis)),((:piscis))
caius,caius
poppaeus,poppaeus
habitavit,habito
hymeto,hymeto
phylacione,phylacio
amaturusque,amaturusque
est,sum
aevum,aevum
ἧς,ὅς
ἀριθμὸς,ἀριθμός
αρα’,αρα’
((:navis,((:navis
cum,cum
velis?)),velis?))
((:carina,((:carina
navis)),navis))
suavis,suavis
nymphica,nymphica
publii,publii
serva,servo
lydia,lydia
phaeder,phaeder
tiberii,tiberii
&#60;:dicunt&#62;,&#60;:dicunt&#6;
venus,venus
((:quadratum,((:quadratum
lineis,linea
variis,varius
notatum,notas
vela?)),vela?))
aulus,aulus
memmius,memmius
((:triangulum)),((:triangulum))
silvestrum,silvestrum
((:lineae)),((:lineae))
((:duo,((:duo
gladiatores,gladiator
pugnantes)),pugnantes))
cravid+net,cravid+net
valerius,valerius
cinaedus,cinaedus
felicula,filicula
verna,vernus
caes,caes
λυκρίων,λυκρίων
πυγίζει,πυγίζει
((:caput,((:caput
ad,ad
sin)),sin))
marcum,marcus
sindium,sindium
((:figura,((:figura
hominis,homo
cum,cum
hasta)),hasta))
φ,ἀπό
((:gladiator,((:gladiator
ad,ad
sin)),sin))
[-,[
-,punc
-]ω++++ρος,]ω++++ρος
δικάζεται,δικάζω
k++++++,k++++++
balai,balai
quati,quatio
licintus,licintus
faustus,faustus
samatissa,samatissa
sarnus,sarnus
sextus,sextus
porcius,porcius
s,senatus
venerandus,veneror
ianuarius,ianuarius
romanus,romanus
aquis,aqua
l,l
ʾ,ʾ
&#60;:columna,&#60;:columna
1&#62;,&#6;
&#60;:columna,&#60;:columna
2,
ad,ad
perpendiculum&#62;,perpendiculum&#6;
((:scaena,((:scaena
erotica)),erotica))
φιλῶ,φιλέω
ἀριθμός,ἀριθμός
[---]α,[]α
((:navis,((:navis
velis,velis
et,et
remis,remi
instructa,instruo
et,et
cum,cum
figura,figuro
hominis)),hominis))
((:herma,((:herma
ad,ad
d,d
prospiciens)),prospiciens))
ovius,ovius
helpis,helpis
ì,ì
θεοδομητε,θεοδομητε
μ,μ
απατρα,απατρα
αἰθέριαι,αἰθέριος
πτέρυγεϲ,πτέρυγεϲ
δόλιου,δόλιου
&#60;:stria,&#60;:stria
3&#62;,3&#6;
&#60;:stria,&#60;:stria
10&#62;,0&#6;
manilius,manilius
((:pars,((:pars
superior,superus
navis,navus
instructae,instruo
velis,velis
maloque)),maloque))
((:navis,((:navis
cum,cum
remis,remi
et,et
vectoribus)),vectoribus))
vos,tu
fortunati,fortuno
v---,v
((:figura,((:figura
hominis,homo
tenens,teneo
manu,manus
sinistra,sinistra
palmam,palma
et,et
ambulans,ambulo
ad,ad
dextram)),dextram))
((:duo,((:duo
quadrati)),quadrati))
ursa,ursa
caprilla,caprilla
((:circuli,((:circulis
circulos,circulus
continentes,contineo
circino,circino
tracti)),tracti))
ἐρῶ,ἐρῶ
ω,ω
ζέον,ζέω
ἁρποκρᾶς,ἁρποκρᾶς
saturninus,saturninus
[-,[
-,punc
-]+tib[-,]+tib[
-,punc
-],]
hymetus,hymetus
amavit,amo
cuius,qui
nomen,nomen
euhodia,euhodia
υϙ’,υϙ’
ἐφίλει,φιλέω
οὗ,ἵημι
φμε’,φμε’
καἴμα,καἴμα
ψοβ’,ψοβ’
cτρατονικοc,cτρατονικοc
stratonicus,stratonicus
tὰς,tὰς
ἀλλοτρίας,ἀλλότριος
γυναῖκας,γυνή
βεινεῖς,βεινεῖς
sed,sed
puto,puto
esse,sum
artificem,artifex
maximum,magnus
aedis,aedes
larium,larium
iubet,iubeo
fruaris,fruor
artificium,artificium
tῶν,tῶν
θαλάμων,θάλαμος
pollice,polliceo
olympyonica,olympyonica
bellicus,bellicus
futuit,futuo
quendam,quidam
luculentissime,luculentissime
futui,futuo
fructus,fructus
[quid,[quid
f]it,f]it
vi,vis
oculi,oculus
postquam,postquam
deduxistis,deduxistis
ignem,ignis
ob,ob
vim,vis
vestris,vester
largificatis,largificatis
geneis,geneis
porro,porro
possunt,possum
lacrumae,lacrima
restinguere,restinguo
flammam,flamma
os,os
incendunt,incendo
tabificantque,tabificantque
animum,animus
tiburtinus,tiburtinus
ἐποίησε,ποιέω
decus,decus
centum,centum
sex,sex
〚a[+3+]〛,〚a[+3+]〛
nice,nico
((:equus,((:equus
ad,ad
sin,sin
incedens)),incedens))
moderatus,moderor
caniu,caniu
oppi,oppi
datur,do
tyranopanevm+,tyranopanevm+
((:circulus,((:circulus
circino,circino
tractus)),tractus))
ἄρτος,ἄρτος
((signum,((signum
incertum)),incertum))
βομβύκιον,βομβύκιον
scepsidi,scepsidi
ara,ara
clim,clim
((:navis,((:navis
cum,cum
malo,malus
veloque)),veloque))
((:ship,((:ship
with,with
mast,mast
and,and
sail)),sail))
nonaginta,nonaginta
novem,novo
ad,ad
ner[---],ner[]
pithia,pithia
spartitundiolo,spartitundiolo
modo,modo
hac,hic
daphnus,daphnus
aegle,aegle
attice,adtaceo
fo+[+5+]annvs,fo+[+5+]annvs
