"EDR127790","127790","54389",,"555","482","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08633","696"
"EDR127218","127218","20898",,"464","355","37.79x37.7",,,"Amy NIZOLEK","2013-04-04","graffito of a standing bird","NorthWest","black","Lagner 1697","693"
"EDR127218","127218-1","84693",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR127218","127218-2","84694",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR127218","127218-3","84695",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR127218","127218-4","84696",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128583","128583","70836",,"449","347","96x96",,,"Amy NIZOLEK","2018-05-30","Graffito of Medusa's head","NorthWest","black","M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung, und Bedeutung. Weisbaden 2001, n. 334 (Kopf)","693"
"EDR128583","128583-1","84685",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128583","128583-2","84686",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128583","128583-3","84687",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128583","128583-4","84688",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di disegno","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR127398","127398","54396",,"524","1065","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08650","696"
"EDR128066","128066","54394",,"379","215","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08648","696"
"EDR128067","128067","54395",,"331","166","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08649","696"
