"EDR076758","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina-graeca","inscr. parietariae","cet.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR077696","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio I.13.1","Periit? ","aedificium","tectorium","carbone","latina","cetera",,"0","0","1","79","0.00","1.20","0.00","6-8","tit. integer","archaeologia",,,"0"
"EDR077698","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. CV, stria 18","Periit","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR079495","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio III.5.2-3, facade","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR079712","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), necropoli di Porta Nocera, tomba 14 EN (ott. 1954), sull'intonaco della parete del lato orientale","periit","sepulcrum","tectorium","litt. scariph.","latina","inscr. parietariae","ord. mun.?; offic. priv.?","0","0","55","68","0.00","0.00","0.00",,"tit. integer","historia, antiquitates; archaeologia",,,"0"
"EDR079713","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina","inscr. parietariae","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR079714","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"1"
"EDR148672","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VIII.3.7","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","2.00","5.90","0.00","0,4-0,7","tit. integer","archaeologia",,,"0"
"EDR148654","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VIII.3.24, Casa di Apollo e Coronis","Pompei (Napoli), Regio VIII.3.24, Casa di Apollo e Coronis","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","7.20","17.20","0.00","0,8 - 7,2","tit. integer","archaeologia",,,"0"
"EDR127829","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XVIII, stria 8","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","4.00","0.00","0,2 - 0,8","tit. integer","archaeologia",,,"0"
