EDR151868,basim,basim,basis,N3B,b0170,f,NcC,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basim,basim,basis,N3B,b0170,f,NcC,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basis,N3B,b0170,f,NcC,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basis,N3B,b0170,f,NcC,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basium,N2,b0171,n,NcB,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basus,N2/1,b0177,*,Af-,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basis,N3B,b0170,f,NcC,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basis,N3B,b0170,f,NcC,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basium,N2,b0171,n,NcB,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,basis,basis,basus,N2/1,b0177,*,Af-,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
